396,秀篆变
397,宫口线
398,北江线
399,金沙变
400,张岭支
401,蓝港线
402,卿五支
403,人事线
404,嘉华线
405,崇仁线
406,防堤支
407,九斗支
408,北路支
409,渭周线
410,秀青线
411,管厝变
412,凤型支
413,溪后线
414,悦府线
415,亲营线
416,合丰支
417,大碑支
418,鼓岭线
419,文星线
420,艺林线
421,五寨变
422,长校变
423,沙堤线
424,南岗变
425,永溪线
426,甘江支
427,中路线
428,连塘线
429,楼仔线
430,郭开线
431,曾厝线
432,石陂线
433,南坪支
434,康林线
435,琯头变
436,仙际线
437,石扁支
438,范墩支
439,亚青线
440,安芜支
441,莲西线
442,秀潭线
443,勤业线
444,吉山变
445,湖雷变
446,龙心线
447,沙芜变
448,柴塔变
449,金沙线
450,海洋线
451,湖冲线
452,深土变
453,田边变
454,管柄变
455,格兰支
456,洪山变
457,港金线
458,电站线
459,东邮支
460,芸山线
461,新城变
462,过洋支
463,大目线
464,东坪支
465,潘田支
466,尼葛变
467,岩前变
468,台溪变
469,佛坑支
470,石埔线
471,南埕线
472,皇万线
473,黄庄线
474,溪底线
475,邦福变
476,茹坑线
477,燕里支
478,老溪线
479,大甲变
480,坑口支
481,金泉变
482,华夏线
483,园山线
484,李墩线
485,溪黄线
486,镇区线
487,汲溪支
488,朱源支
489,富丰线
490,忠游支
491,徐洋线
492,上仑线
493,集亭线
494,苗圃线
495,药村支
496,农贸线
497,仑前线
498,联群支
499,南山支
500,禾村线
501,洋上线
502,瑶前支
503,鸿尾变
504,下坑支
505,东张变
506,黄头线
507,永泉线
508,西农线
509,东屿变
510,嶝立线
511,金新线
512,庄边变
513,工铜线
514,梧桐变
515,文龙线
516,三江支
517,白濑变
518,岩潭支
519,张坂变
520,太马线
521,东美线
522,公馆变
523,长柄变
524,露江线
525,涂坊变
526,官浔变
527,富泰线
528,海汽线
529,华庆线
530,监狱线
531,大喜支
532,上田支
533,浮高线
534,转水支
535,瓮里支
536,寺坑线
537,古槐线
538,永华线
539,才税线
540,新步线
541,隔口支
542,程家线
543,上港线
544,东龙线
545,潘东线
546,西苑线
547,三中线
548,鱼龙线
549,广新线
550,锦尚变
551,华美线
552,新阳变
553,安侯线
554,花源线
555,七里支
556,溪二支
557,古桶线
558,草塘线
559,东畲支
560,开际线
561,罗江变
562,丰卿支
563,市一线
564,泰宁变
565,洋前线
566,凤鸣线
567,赤锡变
568,琅峰线
569,洪墩线
570,顺兴支
571,桂横支
572,达丰线
573,南新线
574,吾彭线
575,湖村线
576,福鑫线
577,贵德支
578,下邦变
579,张坂线
580,塔埔变
581,安宁线
582,松岭支
583,瓷城变
584,井山变
585,包溪线
586,龙岭线
587,十里变
588,芗林线
589,溪填支
590,开岩线
591,象坂变
592,达德线
593,田坑支
594,园宝线
595,荣盛线
596,仙芦线
597,前屿线
598,观海线
599,园东线
600,罗畲支
601,洋镇线
602,花都变
603,仙东变
604,硖嵛线
605,松泥线
606,马厝线
607,凤岩支
608,山峰变
609,赤湖线
610,柳安线
611,张镇变
612,部队支
613,楼源线
614,金埔变
615,下坪支
616,适霞线
617,界首线
618,云台支
619,屏山线
620,黄柏变
621,新圃支
622,冠威支
623,报恩线
624,安居变
625,武岐线
626,岭路变
627,胡书支
628,清苗线
629,建国线
630,水庙线
631,茶场线
632,何厝变
633,龙泰线
634,东庄线
635,莲新线
636,魏厝线
637,赖坊线
638,大淮变
639,洋三线
640,柏洋变
641,螺福线
642,虎窟线
643,东关线
644,紫美线
645,东宝线
646,安后线
647,后郑线
648,德田支
649,陈坊支
650,赤沙支
651,商务变
652,水库支
653,闽毛支
654,下石线
655,西际支
656,文康线
657,松厝支
658,龙东线
659,武曲变
660,荏畲线
661,罗上线
