2021,9,20,79,302
2022,7,31,1656,142
2021,10,12,2875,192
2022,7,31,2122,142
2021,1,3,1500,125
2022,3,31,567,129
2020,7,25,802,116
2021,2,26,2174,102
2021,4,5,1057,215
2022,1,2,2412,116
2020,10,15,2096,130
2020,8,23,31,192
2022,3,27,1681,93
2022,9,6,2372,170
2022,3,26,2719,223
2021,10,12,985,168
2022,8,25,2242,307
2022,10,31,384,192
2020,9,11,1444,226
2022,6,21,871,219
2021,4,16,834,233
2021,10,7,3329,266
2021,7,29,2627,192
2020,5,27,2622,130
2021,3,10,1833,311
2021,11,7,206,142
2020,8,23,966,226
2022,8,7,3323,192
2020,5,6,3462,142
2022,4,4,663,130
2020,1,7,927,260
2022,1,6,1965,301
2020,11,23,2221,70
2021,8,22,1150,266
2021,10,12,3523,60
2021,8,28,1523,63
2020,5,31,2986,215
2021,11,9,3048,142
2021,8,10,1221,88
2022,8,25,3378,192
2020,8,17,2428,116
2021,8,3,1474,88
2021,11,29,442,102
2022,7,29,3100,142
2022,3,25,332,135
2020,1,31,930,260
2020,7,17,3293,63
2021,10,30,3208,88
2021,10,12,2616,168
2022,6,3,2498,116
2020,7,8,2457,116
2021,7,31,2372,142
2020,1,11,2640,215
2021,8,13,3431,142
2020,7,26,651,301
2020,5,10,1138,290
2022,7,18,268,307
2020,10,26,2304,102
2021,6,7,1126,268
2020,8,26,2978,142
2021,5,17,2101,215
2021,10,12,653,260
2021,1,4,3530,134
2022,7,19,3181,116
2022,10,11,680,283
2021,7,14,1376,260
2021,7,29,2864,142
2022,2,27,909,153
2021,6,24,3450,125
2021,8,31,213,226
2020,3,31,2922,130
2021,9,4,917,226
2021,5,29,3390,142
2022,10,24,1150,63
2020,3,26,1971,303
2022,2,1,2382,298
2021,6,25,834,20
2022,6,11,213,215
2022,8,7,909,212
2020,9,24,1562,142
2022,7,4,3406,93
2022,8,27,433,215
2022,5,27,2970,260
2020,11,15,2023,60
2020,8,18,1744,102
2022,10,28,2412,70
2022,8,27,658,123
2021,10,12,3181,168
2020,10,20,1415,304
2022,11,17,3495,215
2021,11,19,1393,192
2021,5,8,330,54
2022,8,18,1753,260
2020,7,25,3189,116
2022,11,15,2172,58
2020,6,6,299,192
2022,9,18,717,301
2021,1,24,2072,125
2022,5,29,3230,266
2020,9,12,9,125
2021,5,17,525,88
2021,8,23,990,67
2020,6,2,1530,142
2021,9,30,1677,142
2021,8,19,1297,20
2020,4,12,1129,233
2021,12,18,912,162
2020,9,13,2317,142
2020,10,18,1283,226
2022,5,25,1101,285
2020,8,1,2685,215
2020,9,2,1150,142
2021,9,23,930,311
2021,6,6,89,266
2021,10,19,2635,103
2021,4,10,2699,116
2022,6,11,1798,81
2020,11,11,2598,298
2020,9,18,2615,260
2021,2,11,2898,142
2022,11,30,165,215
2022,7,21,3360,125
2021,12,21,1035,215
2020,5,29,2368,130
2022,7,1,998,219
2022,9,15,2121,76
2021,7,22,2480,20
2021,8,3,930,192
2021,2,4,2597,116
2020,8,11,2153,192
2021,3,11,2555,215
2021,1,17,9,142
2020,7,16,1186,215
2022,8,23,719,215
2020,10,13,480,157
2021,2,4,1908,215
2021,4,5,535,297
2020,6,8,1150,102
2022,11,1,1706,116
2022,5,27,1876,63
2021,4,18,658,215
2021,5,18,2994,260
2022,11,4,2175,67
2021,12,30,2238,192
2021,12,5,358,67
2022,2,9,3223,103
2021,4,28,3232,142
2021,5,23,2747,192
2020,3,11,1186,215
2022,1,22,975,88
2022,3,26,1631,219
2022,7,29,195,63
2022,11,22,1464,58
2022,3,19,2811,76
2021,9,23,173,142
2022,8,14,3110,215
2021,3,15,158,260
2020,7,26,479,63
2020,3,22,1887,116
2021,6,4,3297,142
2021,9,7,3534,20
2021,7,2,2137,60
2020,7,30,3080,70
2020,8,15,3257,290
2020,10,11,2336,60
2022,12,22,1037,23
2021,8,10,2995,116
2022,11,7,1872,121
2020,9,26,311,304
2020,3,27,2110,211
2020,3,26,1652,311
2021,9,22,3146,162
2021,7,14,1150,303
2020,3,6,1680,168
2022,4,23,2439,192
2020,3,22,2598,63
2020,9,12,2570,67
2022,11,30,2655,20
2022,6,29,1141,20
2020,5,16,2813,67
2022,7,26,1011,116
2020,7,3,2105,102
2021,2,9,44,260
2022,1,13,2048,261
2020,12,12,2129,266
2022,2,26,1150,215
2021,7,16,1474,69
2022,6,5,2879,116
2021,10,15,122,142
2022,9,12,651,192
2021,10,24,2184,60
2020,10,23,1150,215
2021,1,16,930,233
2020,12,30,2006,233
2022,11,29,2954,293
2020,3,8,869,116
2022,12,9,14,134
2020,4,27,1590,303
2021,6,4,3275,142
2021,3,5,1372,215
2020,5,5,1327,63
2022,11,11,1667,89
2020,5,7,973,212
2020,1,26,909,142
2022,8,27,3375,192
2022,7,4,890,219
2021,1,23,2645,142
2022,3,1,1971,63
2021,7,26,1217,20
2021,9,14,1036,233
2020,12,31,2344,215
2022,1,15,1236,215
2022,4,23,1511,63
2021,10,20,400,67
2022,4,27,3037,142
2021,9,3,206,20
2020,6,9,3528,116
2021,1,12,460,302
2020,6,27,373,142
2021,5,8,2934,63
2022,8,23,2771,126
2020,8,2,1586,226
2022,3,25,1150,76
2022,6,30,1150,3
2022,6,25,2664,129
2022,7,4,1691,139
2022,4,4,3049,204
2021,3,2,651,233
2021,8,15,3540,215
2022,8,6,2514,20
2020,8,24,3369,266
2021,5,12,804,116
2022,8,9,2991,215
2020,11,20,3532,266
2022,11,29,3491,63
2021,6,23,1842,142
2021,12,10,651,192
2021,9,5,966,212
2021,8,31,2855,168
2020,10,28,818,266
2020,2,1,3464,260
2021,6,21,3457,60
2022,10,19,2516,261
2020,1,26,175,293
2022,4,16,458,219
2021,8,29,2735,192
2020,8,26,651,20
2020,12,30,1501,192
2022,6,28,777,219
2022,2,3,2974,148
2021,4,1,1154,142
2021,8,23,3005,215
2020,4,26,3161,303
2022,8,14,2887,215
2022,8,30,3402,223
2021,6,21,2433,215
2020,1,19,247,67
2021,7,1,3443,142
2022,9,14,861,142
2020,2,15,3395,215
2022,8,7,651,265
2022,4,22,3587,60
2021,3,16,931,303
2021,6,6,2958,192
2022,8,28,2871,25
2020,9,10,2662,298
2020,6,8,2405,142
2020,6,8,2796,215
2022,5,11,3078,60
2022,8,31,959,218
2022,4,13,402,204
2020,5,17,2355,60
2021,1,11,2945,60
2021,7,8,2361,192
2020,6,20,811,215
2022,4,15,2827,134
2020,12,30,3060,215
2021,6,15,2552,303
2020,2,11,1896,215
2020,1,7,886,233
2022,6,6,2656,192
2022,10,22,3216,130
2022,8,27,932,142
2022,9,7,1122,226
2021,1,28,725,102
2021,12,8,2085,67
2021,12,28,3004,215
2021,7,7,597,142
2021,9,21,1707,266
2022,6,8,440,60
2022,5,12,651,192
2021,3,9,258,226
2021,9,22,2945,298
2021,10,21,3342,124
2021,6,21,747,266
2021,11,5,265,304
2020,11,11,31,298
2021,10,12,743,20
2021,6,10,458,233
2020,8,15,310,226
2021,6,29,1752,63
2021,6,4,2667,215
2021,7,20,1635,88
2022,11,22,2551,261
2020,9,20,47,142
2022,4,13,3245,305
2020,7,31,1652,142
2020,7,30,3457,266
2021,8,9,191,60
2022,7,23,719,166
2022,10,16,2345,261
2022,1,22,1700,23
2022,6,3,602,142
2022,12,22,3111,183
2022,7,29,2831,125
2021,8,18,546,130
2021,2,23,31,192
2022,7,29,1150,63
2022,12,1,2577,192
2022,12,4,1790,67
2020,8,22,337,142
2022,6,1,2991,60
2020,9,11,1103,116
2022,7,31,2791,129
2021,8,19,1287,297
2021,9,21,3488,266
2020,11,28,1023,102
2021,10,4,3384,260
2021,12,12,2656,54
2021,6,10,1543,233
2021,8,1,2848,226
2022,11,3,2428,124
2021,10,20,2999,142
2021,1,6,30,67
2021,6,27,126,130
2021,5,10,3279,162
2020,8,11,2255,215
2020,9,23,3532,266
2020,7,21,858,266
2020,8,22,1410,264
2021,9,26,21,60
2020,5,17,957,142
2020,12,2,1849,215
2021,5,24,2980,192
2021,11,11,2934,215
2022,6,23,1784,223
2020,3,27,2028,260
2022,7,30,1957,142
2020,7,10,952,215
2020,6,7,142,142
2021,6,10,189,192
2022,12,25,2545,20
2022,6,28,2354,215
2021,7,15,1110,303
2020,9,13,3475,274
2020,8,18,775,162
2021,2,5,3111,215
2022,11,6,2641,293
2021,10,28,3180,142
2022,6,30,2680,215
2021,6,10,2702,266
2022,12,4,2259,63
2020,7,31,1717,142
2022,7,4,212,219
2020,5,16,1575,293
2021,5,31,3457,63
2021,5,8,1513,260
2022,12,13,2418,240
2021,8,16,2115,215
2020,9,9,3502,301
2021,5,27,309,142
2022,4,22,84,142
2020,9,22,342,266
2022,1,15,1711,20
2020,8,12,1578,266
2022,4,22,2807,20
2020,8,23,930,311
2022,6,12,2752,116
2022,5,27,2016,125
2021,8,3,689,233
2021,2,27,2099,88
2022,1,17,480,103
2020,5,10,2457,233
2019,12,28,2572,260
2020,9,29,330,88
2022,10,16,651,298
2020,6,1,3535,142
2021,4,26,2133,116
2020,6,6,3535,63
2021,12,7,1170,215
2020,5,6,1367,125
2022,8,25,802,215
2021,9,14,3259,60
2020,8,6,1026,268
2020,7,29,2339,260
2020,9,12,3567,260
2022,4,29,3418,67
2022,7,30,345,76
2020,2,16,2317,63
2021,1,13,2283,103
2022,6,10,3111,133
2022,6,1,1366,215
2022,11,19,3119,58
2020,6,25,3341,215
2020,2,5,3111,192
2021,6,21,321,192
2021,8,8,2416,60
2022,10,15,3358,63
2022,3,7,1150,170
2022,9,24,1973,260
2020,9,9,2056,301
2020,5,5,1567,260
2022,11,24,1082,83
2020,7,29,3296,142
2020,5,16,656,116
2022,3,31,3285,53
2021,3,15,1336,260
2022,7,30,3091,215
2022,8,23,2283,212
2021,10,4,930,215
2020,6,16,1571,142
2022,6,11,1744,192
2020,7,30,3257,215
2021,10,12,1186,102
2022,8,27,130,145
2022,7,30,3028,226
2020,7,18,1223,192
2022,10,25,2918,283
